09:21:54.944626 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3137509263:3137509351, ack 1695189999, win 913, options [nop,nop,TS val 424905307 ecr 40267142], length 88
09:21:55.946455 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 88:176, ack 1, win 913, options [nop,nop,TS val 424906309 ecr 40267392], length 88
09:21:56.949315 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 176:264, ack 1, win 913, options [nop,nop,TS val 424907312 ecr 40267643], length 88
09:21:57.951222 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 264:352, ack 1, win 913, options [nop,nop,TS val 424908314 ecr 40267893], length 88
09:21:58.954250 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 352:440, ack 1, win 913, options [nop,nop,TS val 424909317 ecr 40268144], length 88
09:21:59.957861 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 440:528, ack 1, win 913, options [nop,nop,TS val 424910321 ecr 40268394], length 88
09:22:00.959552 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 528:616, ack 1, win 913, options [nop,nop,TS val 424911323 ecr 40268645], length 88
09:22:01.961403 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 616:704, ack 1, win 913, options [nop,nop,TS val 424912325 ecr 40268896], length 88
09:22:02.963298 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 704:792, ack 1, win 913, options [nop,nop,TS val 424913327 ecr 40269146], length 88
09:22:03.965112 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 792:880, ack 1, win 913, options [nop,nop,TS val 424914329 ecr 40269397], length 88
09:22:04.966957 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 880:968, ack 1, win 913, options [nop,nop,TS val 424915331 ecr 40269647], length 88
09:22:05.968715 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 968:1056, ack 1, win 913, options [nop,nop,TS val 424916333 ecr 40269898], length 88
09:22:06.970451 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1056:1144, ack 1, win 913, options [nop,nop,TS val 424917335 ecr 40270148], length 88
09:22:07.972368 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1144:1232, ack 1, win 913, options [nop,nop,TS val 424918337 ecr 40270399], length 88
09:22:08.975177 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1232:1320, ack 1, win 913, options [nop,nop,TS val 424919340 ecr 40270649], length 88
09:22:09.976916 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1320:1408, ack 1, win 913, options [nop,nop,TS val 424920342 ecr 40270900], length 88
09:22:10.979705 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1408:1496, ack 1, win 913, options [nop,nop,TS val 424921345 ecr 40271150], length 88
09:22:11.981547 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1496:1584, ack 1, win 913, options [nop,nop,TS val 424922347 ecr 40271401], length 88
09:22:12.984344 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1584:1672, ack 1, win 913, options [nop,nop,TS val 424923350 ecr 40271651], length 88
09:22:13.987382 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1672:1760, ack 1, win 913, options [nop,nop,TS val 424924353 ecr 40271902], length 88
09:22:14.990985 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1760:1848, ack 1, win 913, options [nop,nop,TS val 424925357 ecr 40272153], length 88
09:22:15.992784 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1848:1936, ack 1, win 913, options [nop,nop,TS val 424926359 ecr 40272404], length 88
